ddi_id,drug1,drug2,description,level
818,Levothyroxine Sodium,Sucralfate,LEVOTHYROXINE SODIUM/SUCRALFATE [VA Drug Interaction],MODERATE
819,Rifabutin,Saquinavir,RIFABUTIN/SAQUINAVIR [VA Drug Interaction],MODERATE
820,Cisapride,Clarithromycin,CISAPRIDE/CLARITHROMYCIN [VA Drug Interaction],MAJOR
821,Amiloride,Trandolapril,AMILORIDE/TRANDOLAPRIL [VA Drug Interaction],MODERATE
822,Indomethacin,Trandolapril,INDOMETHACIN/TRANDOLAPRIL [VA Drug Interaction],MODERATE
823,Spironolactone,Trandolapril,SPIRONOLACTONE/TRANDOLAPRIL [VA Drug Interaction],MODERATE
824,Trandolapril,Triamterene,TRANDOLAPRIL/TRIAMTERENE [VA Drug Interaction],MODERATE
825,Fluconazole,Rifabutin,FLUCONAZOLE/RIFABUTIN [VA Drug Interaction],MAJOR
826,Itraconazole,Rifabutin,ITRACONAZOLE/RIFABUTIN [VA Drug Interaction],MAJOR
827,Ketoconazole,Rifabutin,KETOCONAZOLE/RIFABUTIN [VA Drug Interaction],MAJOR
828,Chlorzoxazone,Disulfiram,CHLORZOXAZONE/DISULFIRAM [VA Drug Interaction],MODERATE
829,Dapsone,Didanosine,DAPSONE/DIDANOSINE [VA Drug Interaction],MAJOR
830,Quinidine,Rifabutin,QUINIDINE/RIFABUTIN [VA Drug Interaction],MODERATE
831,Cyproheptadine,Paroxetine,CYPROHEPTADINE/PAROXETINE [VA Drug Interaction],MODERATE
832,Amiloride,Quinidine,AMILORIDE/QUINIDINE [VA Drug Interaction],MODERATE
833,Miconazole,Warfarin,MICONAZOLE/WARFARIN [VA Drug Interaction],MAJOR
834,Fluconazole,Warfarin,FLUCONAZOLE/WARFARIN [VA Drug Interaction],MAJOR
835,Ketoconazole,Warfarin,KETOCONAZOLE/WARFARIN [VA Drug Interaction],MAJOR
836,Itraconazole,Warfarin,ITRACONAZOLE/WARFARIN [VA Drug Interaction],MAJOR
837,Amobarbital,Warfarin,AMOBARBITAL/WARFARIN [VA Drug Interaction],MAJOR
838,Astemizole,Ritonavir,ASTEMIZOLE/RITONAVIR [VA Drug Interaction],MAJOR
839,Ritonavir,Terfenadine,RITONAVIR/TERFENADINE [VA Drug Interaction],MAJOR
840,Itraconazole,Midazolam,ITRACONAZOLE/MIDAZOLAM [VA Drug Interaction],MAJOR
841,Ketoconazole,Midazolam,KETOCONAZOLE/MIDAZOLAM [VA Drug Interaction],MAJOR
842,Ketoconazole,Triazolam,KETOCONAZOLE/TRIAZOLAM [VA Drug Interaction],MAJOR
843,Bupropion,Carbamazepine,BUPROPION/CARBAMAZEPINE [VA Drug Interaction],MODERATE
844,Cisapride,Ritonavir,CISAPRIDE/RITONAVIR [VA Drug Interaction],MAJOR
845,Enflurane,Isoniazid,ENFLURANE/ISONIAZID [VA Drug Interaction],MODERATE
846,Itraconazole,Phenytoin,ITRACONAZOLE/PHENYTOIN [VA Drug Interaction],MODERATE
847,Itraconazole,Mephenytoin,ITRACONAZOLE/MEPHENYTOIN [VA Drug Interaction],MODERATE
848,Alprazolam,Ritonavir,ALPRAZOLAM/RITONAVIR [VA Drug Interaction],MODERATE
849,Chlordiazepoxide,Ritonavir,CHLORDIAZEPOXIDE/RITONAVIR [VA Drug Interaction],MODERATE
850,Diazepam,Ritonavir,DIAZEPAM/RITONAVIR [VA Drug Interaction],MODERATE
851,Estazolam,Ritonavir,ESTAZOLAM/RITONAVIR [VA Drug Interaction],MODERATE
852,Flurazepam,Ritonavir,FLURAZEPAM/RITONAVIR [VA Drug Interaction],MODERATE
853,Halazepam,Ritonavir,HALAZEPAM/RITONAVIR [VA Drug Interaction],MODERATE
854,Quazepam,Ritonavir,QUAZEPAM/RITONAVIR [VA Drug Interaction],MODERATE
855,Midazolam,Ritonavir,MIDAZOLAM/RITONAVIR [VA Drug Interaction],MAJOR
856,Clonazepam,Ritonavir,CLONAZEPAM/RITONAVIR [VA Drug Interaction],MODERATE
857,Clorazepate,Ritonavir,CLORAZEPATE/RITONAVIR [VA Drug Interaction],MODERATE
858,Prazepam,Ritonavir,PRAZEPAM/RITONAVIR [VA Drug Interaction],MODERATE
859,Ritonavir,Temazepam,RITONAVIR/TEMAZEPAM [VA Drug Interaction],MAJOR
860,Ritonavir,Triazolam,RITONAVIR/TRIAZOLAM [VA Drug Interaction],MAJOR
861,Desogestrel,Rifabutin,DESOGESTREL/RIFABUTIN [VA Drug Interaction],MODERATE
863,Levonorgestrel,Rifabutin,LEVONORGESTREL/RIFABUTIN [VA Drug Interaction],MODERATE
864,Medroxyprogesterone,Rifabutin,MEDROXYPROGESTERONE/RIFABUTIN [VA Drug Interaction],MODERATE
865,Mestranol,Rifabutin,MESTRANOL/RIFABUTIN [VA Drug Interaction],MAJOR
866,Norethynodrel,Rifabutin,NORETHYNODREL/RIFABUTIN [VA Drug Interaction],MODERATE
867,Norgestimate,Rifabutin,NORGESTIMATE/RIFABUTIN [VA Drug Interaction],MODERATE
868,Erythromycin,Warfarin,ERYTHROMYCIN/WARFARIN [VA Drug Interaction],MAJOR
869,Phenytoin,Ticlopidine,PHENYTOIN/TICLOPIDINE [VA Drug Interaction],MODERATE
870,Acetaminophen,Sulfinpyrazone,ACETAMINOPHEN/SULFINPYRAZONE [VA Drug Interaction],MODERATE
871,Vitamin E,Warfarin,VITAMIN E/WARFARIN [VA Drug Interaction],MODERATE
872,Amiodarone,Fentanyl,AMIODARONE/FENTANYL [VA Drug Interaction],MODERATE
873,Astemizole,Quinine,ASTEMIZOLE/QUININE [VA Drug Interaction],MAJOR
874,Quinine,Terfenadine,QUININE/TERFENADINE [VA Drug Interaction],MODERATE
875,Procainamide,Trimethoprim,PROCAINAMIDE/TRIMETHOPRIM [VA Drug Interaction],MODERATE
876,Atovaquone,Zidovudine,ATOVAQUONE/ZIDOVUDINE [VA Drug Interaction],MODERATE
877,Ganciclovir,Zidovudine,GANCICLOVIR/ZIDOVUDINE [VA Drug Interaction],MAJOR
878,Dextromethorphan,Isocarboxazid,DEXTROMETHORPHAN/ISOCARBOXAZID [VA Drug Interaction],MAJOR
879,Dextromethorphan,Phenelzine,DEXTROMETHORPHAN/PHENELZINE [VA Drug Interaction],MAJOR
880,Dextromethorphan,Tranylcypromine,DEXTROMETHORPHAN/TRANYLCYPROMINE [VA Drug Interaction],MAJOR
881,Dextromethorphan,Pargyline,DEXTROMETHORPHAN/PARGYLINE [VA Drug Interaction],MAJOR
882,Fenfluramine,Tranylcypromine,FENFLURAMINE/TRANYLCYPROMINE [VA Drug Interaction],MAJOR
883,Fenfluramine,Phenelzine,FENFLURAMINE/PHENELZINE [VA Drug Interaction],MAJOR
884,Fenfluramine,Isocarboxazid,FENFLURAMINE/ISOCARBOXAZID [VA Drug Interaction],MAJOR
885,Fenfluramine,Selegiline,FENFLURAMINE/SELEGILINE [VA Drug Interaction],MAJOR
886,Dextromethorphan,Paroxetine,DEXTROMETHORPHAN/PAROXETINE [VA Drug Interaction],MODERATE
887,Disopyramide,Sparfloxacin,DISOPYRAMIDE/SPARFLOXACIN [VA Drug Interaction],MAJOR
888,Amiodarone,Sparfloxacin,AMIODARONE/SPARFLOXACIN [VA Drug Interaction],MAJOR
889,Levamisole,Warfarin,LEVAMISOLE/WARFARIN [VA Drug Interaction],MODERATE
890,Ephedrine,Sodium Acetate,EPHEDRINE/SODIUM ACETATE [VA Drug Interaction],MODERATE
891,Ephedrine,Sodium Lactate,EPHEDRINE/SODIUM LACTATE [VA Drug Interaction],MODERATE
892,Pseudoephedrine,Sodium Acetate,PSEUDOEPHEDRINE/SODIUM ACETATE [VA Drug Interaction],MODERATE
893,Pseudoephedrine,Sodium Lactate,PSEUDOEPHEDRINE/SODIUM LACTATE [VA Drug Interaction],MODERATE
894,Clozapine,Erythromycin,CLOZAPINE/ERYTHROMYCIN [VA Drug Interaction],MODERATE
895,Clarithromycin,Pimozide,CLARITHROMYCIN/PIMOZIDE [VA Drug Interaction],MAJOR
896,Erythromycin,Pimozide,ERYTHROMYCIN/PIMOZIDE [VA Drug Interaction],MAJOR
897,Azithromycin,Pimozide,AZITHROMYCIN/PIMOZIDE [VA Drug Interaction],MAJOR
898,Dirithromycin,Pimozide,DIRITHROMYCIN/PIMOZIDE [VA Drug Interaction],MAJOR
899,Encainide,Ritonavir,ENCAINIDE/RITONAVIR [VA Drug Interaction],MODERATE
900,Ethacrynic Acid,Kanamycin,ETHACRYNIC ACID/KANAMYCIN [VA Drug Interaction],MODERATE
901,Ethacrynic Acid,Netilmicin,ETHACRYNIC ACID/NETILMICIN [VA Drug Interaction],MODERATE
902,Ethacrynic Acid,Streptomycin,ETHACRYNIC ACID/STREPTOMYCIN [VA Drug Interaction],MODERATE
903,Fenfluramine,Pargyline,FENFLURAMINE/PARGYLINE [VA Drug Interaction],MAJOR
904,Fludrocortisone,Neostigmine,FLUDROCORTISONE/NEOSTIGMINE [VA Drug Interaction],MODERATE
905,Fludrocortisone,Pyridostigmine,FLUDROCORTISONE/PYRIDOSTIGMINE [VA Drug Interaction],MODERATE
906,Fludrocortisone,Rifabutin,FLUDROCORTISONE/RIFABUTIN [VA Drug Interaction],MODERATE
907,Fluoxymesterone,Warfarin,FLUOXYMESTERONE/WARFARIN [VA Drug Interaction],MODERATE
908,Furosemide,Kanamycin,FUROSEMIDE/KANAMYCIN [VA Drug Interaction],MODERATE
909,Furosemide,Netilmicin,FUROSEMIDE/NETILMICIN [VA Drug Interaction],MODERATE
910,Furosemide,Streptomycin,FUROSEMIDE/STREPTOMYCIN [VA Drug Interaction],MODERATE
911,Gemfibrozil,Pravastatin,GEMFIBROZIL/PRAVASTATIN [VA Drug Interaction],MODERATE
912,Gemfibrozil,Simvastatin,GEMFIBROZIL/SIMVASTATIN [VA Drug Interaction],MAJOR
913,Gentamicin,Torsemide,GENTAMICIN/TORSEMIDE [VA Drug Interaction],MODERATE
914,Gentamicin,Vecuronium,GENTAMICIN/VECURONIUM [VA Drug Interaction],MODERATE
915,Hydrocortisone,Neostigmine,HYDROCORTISONE/NEOSTIGMINE [VA Drug Interaction],MODERATE
916,Hydrocortisone,Pyridostigmine,HYDROCORTISONE/PYRIDOSTIGMINE [VA Drug Interaction],MODERATE
917,Hydrocortisone,Rifabutin,HYDROCORTISONE/RIFABUTIN [VA Drug Interaction],MODERATE
918,Isocarboxazid,Mazindol,ISOCARBOXAZID/MAZINDOL [VA Drug Interaction],MODERATE
919,Isocarboxazid,Phendimetrazine,ISOCARBOXAZID/PHENDIMETRAZINE [VA Drug Interaction],MODERATE
920,Isocarboxazid,Phenmetrazine,ISOCARBOXAZID/PHENMETRAZINE [VA Drug Interaction],MODERATE
921,Isocarboxazid,Phentermine,ISOCARBOXAZID/PHENTERMINE [VA Drug Interaction],MODERATE
922,Isocarboxazid,Sumatriptan,ISOCARBOXAZID/SUMATRIPTAN [VA Drug Interaction],MODERATE
923,Kanamycin,Pancuronium,KANAMYCIN/PANCURONIUM [VA Drug Interaction],MODERATE
924,Kanamycin,Torsemide,KANAMYCIN/TORSEMIDE [VA Drug Interaction],MODERATE
925,Kanamycin,Tubocurarine,KANAMYCIN/TUBOCURARINE [VA Drug Interaction],MODERATE
926,Kanamycin,Vecuronium,KANAMYCIN/VECURONIUM [VA Drug Interaction],MODERATE
927,Carmustine,Cimetidine,CARMUSTINE/CIMETIDINE [VA Drug Interaction],MAJOR
928,Carteolol,Clonidine,CARTEOLOL/CLONIDINE [VA Drug Interaction],MODERATE
929,Clonidine,Metoprolol,CLONIDINE/METOPROLOL [VA Drug Interaction],MODERATE
930,Clonidine,Nadolol,CLONIDINE/NADOLOL [VA Drug Interaction],MODERATE
931,Clonidine,Penbutolol,CLONIDINE/PENBUTOLOL [VA Drug Interaction],MODERATE
932,Clonidine,Pindolol,CLONIDINE/PINDOLOL [VA Drug Interaction],MODERATE
933,Clonidine,Propranolol,CLONIDINE/PROPRANOLOL [VA Drug Interaction],MODERATE
934,Clonidine,Timolol,CLONIDINE/TIMOLOL [VA Drug Interaction],MODERATE
935,Choline Salicylate,Methotrexate,CHOLINE SALICYLATE/METHOTREXATE [VA Drug Interaction],MAJOR
936,Cisapride,Nefazodone,CISAPRIDE/NEFAZODONE [VA Drug Interaction],MAJOR
937,Anisindione,Clofibrate,ANISINDIONE/CLOFIBRATE [VA Drug Interaction],MAJOR
938,Anisindione,Levothyroxine Sodium,ANISINDIONE/LEVOTHYROXINE SODIUM [VA Drug Interaction],MODERATE
939,Anisindione,Methyl Salicylate,ANISINDIONE/METHYL SALICYLATE [VA Drug Interaction],MAJOR
940,Anisindione,Oxyphenbutazone,ANISINDIONE/OXYPHENBUTAZONE [VA Drug Interaction],MAJOR
941,Anisindione,Pentobarbital,ANISINDIONE/PENTOBARBITAL [VA Drug Interaction],MAJOR
942,Anisindione,Phenobarbital,ANISINDIONE/PHENOBARBITAL [VA Drug Interaction],MAJOR
943,Anisindione,Primidone,ANISINDIONE/PRIMIDONE [VA Drug Interaction],MAJOR
944,Anisindione,Propylthiouracil,ANISINDIONE/PROPYLTHIOURACIL [VA Drug Interaction],MODERATE
945,Anisindione,Secobarbital,ANISINDIONE/SECOBARBITAL [VA Drug Interaction],MAJOR
946,Clofibrate,Phenprocoumon,CLOFIBRATE/PHENPROCOUMON [VA Drug Interaction],MAJOR
947,Levothyroxine Sodium,Phenprocoumon,LEVOTHYROXINE SODIUM/PHENPROCOUMON [VA Drug Interaction],MODERATE
948,Methyl Salicylate,Phenprocoumon,METHYL SALICYLATE/PHENPROCOUMON [VA Drug Interaction],MAJOR
949,Oxyphenbutazone,Phenprocoumon,OXYPHENBUTAZONE/PHENPROCOUMON [VA Drug Interaction],MAJOR
950,Pentobarbital,Phenprocoumon,PENTOBARBITAL/PHENPROCOUMON [VA Drug Interaction],MAJOR
951,Phenobarbital,Phenprocoumon,PHENOBARBITAL/PHENPROCOUMON [VA Drug Interaction],MAJOR
952,Phenprocoumon,Primidone,PHENPROCOUMON/PRIMIDONE [VA Drug Interaction],MAJOR
953,Phenprocoumon,Propylthiouracil,PHENPROCOUMON/PROPYLTHIOURACIL [VA Drug Interaction],MODERATE
954,Phenprocoumon,Secobarbital,PHENPROCOUMON/SECOBARBITAL [VA Drug Interaction],MAJOR
955,Clozapine,Ritonavir,CLOZAPINE/RITONAVIR [VA Drug Interaction],MODERATE
956,Carbamazepine,Danazol,CARBAMAZEPINE/DANAZOL [VA Drug Interaction],MODERATE
957,Danazol,Tacrolimus,DANAZOL/TACROLIMUS [VA Drug Interaction],MODERATE
958,Amiodarone,Anisindione,AMIODARONE/ANISINDIONE [VA Drug Interaction],MAJOR
959,Amiodarone,Phenprocoumon,AMIODARONE/PHENPROCOUMON [VA Drug Interaction],MAJOR
960,Amobarbital,Anisindione,AMOBARBITAL/ANISINDIONE [VA Drug Interaction],MAJOR
961,Amobarbital,Phenprocoumon,AMOBARBITAL/PHENPROCOUMON [VA Drug Interaction],MAJOR
962,Anisindione,Carbamazepine,ANISINDIONE/CARBAMAZEPINE [VA Drug Interaction],MAJOR
963,Anisindione,Cholestyramine,ANISINDIONE/CHOLESTYRAMINE [VA Drug Interaction],MODERATE
964,Anisindione,Cimetidine,ANISINDIONE/CIMETIDINE [VA Drug Interaction],MAJOR
965,Anisindione,Danazol,ANISINDIONE/DANAZOL [VA Drug Interaction],MAJOR
966,Anisindione,Disulfiram,ANISINDIONE/DISULFIRAM [VA Drug Interaction],MAJOR
967,Anisindione,Erythromycin,ANISINDIONE/ERYTHROMYCIN [VA Drug Interaction],MODERATE
968,Anisindione,Fluconazole,ANISINDIONE/FLUCONAZOLE [VA Drug Interaction],MAJOR
969,Anisindione,Itraconazole,ANISINDIONE/ITRACONAZOLE [VA Drug Interaction],MAJOR
970,Anisindione,Ketoconazole,ANISINDIONE/KETOCONAZOLE [VA Drug Interaction],MAJOR
971,Anisindione,Levamisole,ANISINDIONE/LEVAMISOLE [VA Drug Interaction],MODERATE
972,Anisindione,Metronidazole,ANISINDIONE/METRONIDAZOLE [VA Drug Interaction],MODERATE
973,Anisindione,Miconazole,ANISINDIONE/MICONAZOLE [VA Drug Interaction],MAJOR
974,Anisindione,Paroxetine,ANISINDIONE/PAROXETINE [VA Drug Interaction],MODERATE
975,Anisindione,Phenytoin,ANISINDIONE/PHENYTOIN [VA Drug Interaction],MODERATE
976,Anisindione,Sulfamethoxazole,ANISINDIONE/SULFAMETHOXAZOLE [VA Drug Interaction],MODERATE
977,Anisindione,Sulfinpyrazone,ANISINDIONE/SULFINPYRAZONE [VA Drug Interaction],MODERATE
978,Anisindione,Vitamin E,ANISINDIONE/VITAMIN E [VA Drug Interaction],MODERATE
979,Carbamazepine,Phenprocoumon,CARBAMAZEPINE/PHENPROCOUMON [VA Drug Interaction],MAJOR
980,Cholestyramine,Phenprocoumon,CHOLESTYRAMINE/PHENPROCOUMON [VA Drug Interaction],MODERATE
981,Choline Salicylate,Phenprocoumon,CHOLINE SALICYLATE/PHENPROCOUMON [VA Drug Interaction],MAJOR
982,Cimetidine,Phenprocoumon,CIMETIDINE/PHENPROCOUMON [VA Drug Interaction],MAJOR
983,Danazol,Phenprocoumon,DANAZOL/PHENPROCOUMON [VA Drug Interaction],MAJOR
984,Diclofenac,Phenprocoumon,DICLOFENAC/PHENPROCOUMON [VA Drug Interaction],MODERATE
985,Diflunisal,Phenprocoumon,DIFLUNISAL/PHENPROCOUMON [VA Drug Interaction],MODERATE
986,Disulfiram,Phenprocoumon,DISULFIRAM/PHENPROCOUMON [VA Drug Interaction],MAJOR
987,Erythromycin,Phenprocoumon,ERYTHROMYCIN/PHENPROCOUMON [VA Drug Interaction],MODERATE
988,Etodolac,Phenprocoumon,ETODOLAC/PHENPROCOUMON [VA Drug Interaction],MODERATE
989,Fenoprofen,Phenprocoumon,FENOPROFEN/PHENPROCOUMON [VA Drug Interaction],MODERATE
990,Fluconazole,Phenprocoumon,FLUCONAZOLE/PHENPROCOUMON [VA Drug Interaction],MAJOR
991,Flurbiprofen,Phenprocoumon,FLURBIPROFEN/PHENPROCOUMON [VA Drug Interaction],MODERATE
992,Ibuprofen,Phenprocoumon,IBUPROFEN/PHENPROCOUMON [VA Drug Interaction],MODERATE
993,Indomethacin,Phenprocoumon,INDOMETHACIN/PHENPROCOUMON [VA Drug Interaction],MODERATE
994,Itraconazole,Phenprocoumon,ITRACONAZOLE/PHENPROCOUMON [VA Drug Interaction],MAJOR
995,Ketoconazole,Phenprocoumon,KETOCONAZOLE/PHENPROCOUMON [VA Drug Interaction],MAJOR
996,Ketoprofen,Phenprocoumon,KETOPROFEN/PHENPROCOUMON [VA Drug Interaction],MODERATE
998,Levamisole,Phenprocoumon,LEVAMISOLE/PHENPROCOUMON [VA Drug Interaction],MODERATE
999,Meclofenamic Acid,Phenprocoumon,MECLOFENAMIC ACID/PHENPROCOUMON [VA Drug Interaction],MODERATE
1000,Mefenamic Acid,Phenprocoumon,MEFENAMIC ACID/PHENPROCOUMON [VA Drug Interaction],MODERATE
1001,Metronidazole,Phenprocoumon,METRONIDAZOLE/PHENPROCOUMON [VA Drug Interaction],MODERATE
1002,Miconazole,Phenprocoumon,MICONAZOLE/PHENPROCOUMON [VA Drug Interaction],MAJOR
1003,Nabumetone,Phenprocoumon,NABUMETONE/PHENPROCOUMON [VA Drug Interaction],MODERATE
1004,Naproxen,Phenprocoumon,NAPROXEN/PHENPROCOUMON [VA Drug Interaction],MODERATE
1005,Oxaprozin,Phenprocoumon,OXAPROZIN/PHENPROCOUMON [VA Drug Interaction],MODERATE
1006,Paroxetine,Phenprocoumon,PAROXETINE/PHENPROCOUMON [VA Drug Interaction],MODERATE
1007,Phenprocoumon,Phenylbutazone,PHENPROCOUMON/PHENYLBUTAZONE [VA Drug Interaction],MAJOR
1008,Phenprocoumon,Phenytoin,PHENPROCOUMON/PHENYTOIN [VA Drug Interaction],MODERATE
1009,Phenprocoumon,Piroxicam,PHENPROCOUMON/PIROXICAM [VA Drug Interaction],MODERATE
1010,Phenprocoumon,Salsalate,PHENPROCOUMON/SALSALATE [VA Drug Interaction],MAJOR
1011,Phenprocoumon,Sulfamethoxazole,PHENPROCOUMON/SULFAMETHOXAZOLE [VA Drug Interaction],MODERATE
1012,Phenprocoumon,Sulfinpyrazone,PHENPROCOUMON/SULFINPYRAZONE [VA Drug Interaction],MODERATE
1013,Phenprocoumon,Sulindac,PHENPROCOUMON/SULINDAC [VA Drug Interaction],MODERATE
1014,Phenprocoumon,Tolmetin,PHENPROCOUMON/TOLMETIN [VA Drug Interaction],MODERATE
1015,Phenprocoumon,Vitamin E,PHENPROCOUMON/VITAMIN E [VA Drug Interaction],MODERATE
1016,Acebutolol,Clonidine,ACEBUTOLOL/CLONIDINE [VA Drug Interaction],MODERATE
1017,Amikacin,Torsemide,AMIKACIN/TORSEMIDE [VA Drug Interaction],MODERATE
1018,Amikacin,Vecuronium,AMIKACIN/VECURONIUM [VA Drug Interaction],MODERATE
1019,Amiloride,Potassium Iodide,AMILORIDE/POTASSIUM IODIDE [VA Drug Interaction],MODERATE
1020,Amiodarone,Ritonavir,AMIODARONE/RITONAVIR [VA Drug Interaction],MAJOR
1021,Atenolol,Clonidine,ATENOLOL/CLONIDINE [VA Drug Interaction],MODERATE
1022,Atracurium,Neomycin,ATRACURIUM/NEOMYCIN [VA Drug Interaction],MODERATE
1023,Atracurium,Netilmicin,ATRACURIUM/NETILMICIN [VA Drug Interaction],MODERATE
1024,Atracurium,Streptomycin,ATRACURIUM/STREPTOMYCIN [VA Drug Interaction],MODERATE
1025,Benzphetamine,Isocarboxazid,BENZPHETAMINE/ISOCARBOXAZID [VA Drug Interaction],MAJOR
1026,Benzphetamine,Pargyline,BENZPHETAMINE/PARGYLINE [VA Drug Interaction],MAJOR
1027,Benzphetamine,Phenelzine,BENZPHETAMINE/PHENELZINE [VA Drug Interaction],MAJOR
1028,Benzphetamine,Tranylcypromine,BENZPHETAMINE/TRANYLCYPROMINE [VA Drug Interaction],MAJOR
1029,Bepridil,Ritonavir,BEPRIDIL/RITONAVIR [VA Drug Interaction],MODERATE
1030,Betamethasone,Edrophonium,BETAMETHASONE/EDROPHONIUM [VA Drug Interaction],MODERATE
1031,Betamethasone,Neostigmine,BETAMETHASONE/NEOSTIGMINE [VA Drug Interaction],MODERATE
1032,Betamethasone,Pyridostigmine,BETAMETHASONE/PYRIDOSTIGMINE [VA Drug Interaction],MODERATE
1033,Betamethasone,Rifabutin,BETAMETHASONE/RIFABUTIN [VA Drug Interaction],MODERATE
1034,Betaxolol,Clonidine,BETAXOLOL/CLONIDINE [VA Drug Interaction],MODERATE
1035,Bumetanide,Streptomycin,BUMETANIDE/STREPTOMYCIN [VA Drug Interaction],MODERATE
1036,Bumetanide,Kanamycin,BUMETANIDE/KANAMYCIN [VA Drug Interaction],MODERATE
1037,Bumetanide,Netilmicin,BUMETANIDE/NETILMICIN [VA Drug Interaction],MODERATE
1038,Butalbital,Warfarin,BUTALBITAL/WARFARIN [VA Drug Interaction],MODERATE
1039,Carbenicillin,Demeclocycline,CARBENICILLIN/DEMECLOCYCLINE [VA Drug Interaction],MODERATE
1040,Carbenicillin,Doxycycline,CARBENICILLIN/DOXYCYCLINE [VA Drug Interaction],MODERATE
1041,Carbenicillin,Minocycline,CARBENICILLIN/MINOCYCLINE [VA Drug Interaction],MODERATE
1042,Carbenicillin,Oxytetracycline,CARBENICILLIN/OXYTETRACYCLINE [VA Drug Interaction],MODERATE
1043,Carbenicillin,Tetracycline,CARBENICILLIN/TETRACYCLINE [VA Drug Interaction],MODERATE
1044,Paroxetine,Perphenazine,PAROXETINE/PERPHENAZINE [VA Drug Interaction],MODERATE
1045,Cisapride,Sparfloxacin,CISAPRIDE/SPARFLOXACIN [VA Drug Interaction],MODERATE
1046,Atenolol,Disopyramide,ATENOLOL/DISOPYRAMIDE [VA Drug Interaction],MODERATE
1047,Disopyramide,Nadolol,DISOPYRAMIDE/NADOLOL [VA Drug Interaction],MODERATE
1048,Disopyramide,Propranolol,DISOPYRAMIDE/PROPRANOLOL [VA Drug Interaction],MODERATE
1049,Betaxolol,Disopyramide,BETAXOLOL/DISOPYRAMIDE [VA Drug Interaction],MODERATE
1050,Acebutolol,Disopyramide,ACEBUTOLOL/DISOPYRAMIDE [VA Drug Interaction],MAJOR
1051,Carvedilol,Disopyramide,CARVEDILOL/DISOPYRAMIDE [VA Drug Interaction],MODERATE
1052,Disopyramide,Esmolol,DISOPYRAMIDE/ESMOLOL [VA Drug Interaction],MODERATE
1053,Disopyramide,Labetalol,DISOPYRAMIDE/LABETALOL [VA Drug Interaction],MODERATE
1054,Disopyramide,Metoprolol,DISOPYRAMIDE/METOPROLOL [VA Drug Interaction],MODERATE
1055,Disopyramide,Penbutolol,DISOPYRAMIDE/PENBUTOLOL [VA Drug Interaction],MODERATE
1056,Disopyramide,Pindolol,DISOPYRAMIDE/PINDOLOL [VA Drug Interaction],MODERATE
1057,Disopyramide,Sotalol,DISOPYRAMIDE/SOTALOL [VA Drug Interaction],MODERATE
1058,Disopyramide,Timolol,DISOPYRAMIDE/TIMOLOL [VA Drug Interaction],MODERATE
1059,Buspirone,Rifabutin,BUSPIRONE/RIFABUTIN [VA Drug Interaction],MODERATE
1060,Amitriptyline,Rifabutin,AMITRIPTYLINE/RIFABUTIN [VA Drug Interaction],MODERATE
1061,Amoxapine,Rifabutin,AMOXAPINE/RIFABUTIN [VA Drug Interaction],MODERATE
1062,Clomipramine,Rifabutin,CLOMIPRAMINE/RIFABUTIN [VA Drug Interaction],MODERATE
1063,Desipramine,Rifabutin,DESIPRAMINE/RIFABUTIN [VA Drug Interaction],MODERATE
1064,Doxepin,Rifabutin,DOXEPIN/RIFABUTIN [VA Drug Interaction],MODERATE
1065,Imipramine,Rifabutin,IMIPRAMINE/RIFABUTIN [VA Drug Interaction],MODERATE
1066,Nortriptyline,Rifabutin,NORTRIPTYLINE/RIFABUTIN [VA Drug Interaction],MODERATE
1067,Protriptyline,Rifabutin,PROTRIPTYLINE/RIFABUTIN [VA Drug Interaction],MODERATE
1068,Rifabutin,Trimipramine,RIFABUTIN/TRIMIPRAMINE [VA Drug Interaction],MODERATE
1069,Chlorotrianisene,Phenobarbital,CHLOROTRIANISENE/PHENOBARBITAL [VA Drug Interaction],MAJOR
1070,Diethylstilbestrol,Phenobarbital,DIETHYLSTILBESTROL/PHENOBARBITAL [VA Drug Interaction],MODERATE
1071,Estradiol,Phenobarbital,ESTRADIOL/PHENOBARBITAL [VA Drug Interaction],MODERATE
1072,Estrone,Phenobarbital,ESTRONE/PHENOBARBITAL [VA Drug Interaction],MAJOR
1073,Itraconazole,Quinidine,ITRACONAZOLE/QUINIDINE [VA Drug Interaction],MAJOR
1074,Phenobarbital,Quinestrol,PHENOBARBITAL/QUINESTROL [VA Drug Interaction],MODERATE
1075,Carbamazepine,Chlorotrianisene,CARBAMAZEPINE/CHLOROTRIANISENE [VA Drug Interaction],MAJOR
1076,Carbamazepine,Diethylstilbestrol,CARBAMAZEPINE/DIETHYLSTILBESTROL [VA Drug Interaction],MAJOR
1077,Carbamazepine,Estradiol,CARBAMAZEPINE/ESTRADIOL [VA Drug Interaction],MODERATE
1078,Carbamazepine,Estrone,CARBAMAZEPINE/ESTRONE [VA Drug Interaction],MAJOR
1079,Carbamazepine,Quinestrol,CARBAMAZEPINE/QUINESTROL [VA Drug Interaction],MAJOR
1080,Chlorotrianisene,Phenytoin,CHLOROTRIANISENE/PHENYTOIN [VA Drug Interaction],MAJOR
1081,Diethylstilbestrol,Phenytoin,DIETHYLSTILBESTROL/PHENYTOIN [VA Drug Interaction],MAJOR
1082,Estradiol,Phenytoin,ESTRADIOL/PHENYTOIN [VA Drug Interaction],MODERATE
